,click_status,AMP_timestamp,query_term,IP_address,user_agent,cost_per_click,conversions,country,city,devices,date,hour,query_term_list,len_query_term_list,ip_clicks_status
14,1,29/01/15 11:00,"[""To 3GP"",""Online Video Converter"",""video production""]",199.43.238.251,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; MASMJS; rv:11.0) like Gecko,0.17,0,United States,New York,Windows,29/01/1,11,"['To 3GP', 'Online Video Converter', 'video production']",3,1
15,1,29/01/15 11:00,"[""Faisal""]",90.100.170.77,Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0,0.17,0,France,Unknown,Windows,29/01/1,11,['Faisal'],1,1
16,1,29/01/15 11:00,"[""Kick Ass Torrent""]",191.24.126.183,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,Brazil,Goiania,Windows,29/01/1,11,['Kick Ass Torrent'],1,0
17,1,29/01/15 11:01,"[""Faisal""]",90.100.170.77,Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0,0.17,0,France,Unknown,Windows,29/01/1,11,['Faisal'],1,1
18,1,29/01/15 11:01,"[""SAS ATT OSA SAT to""]",47.27.248.237,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,United States,Englewood,Windows,29/01/1,11,['SAS ATT OSA SAT to'],1,1
19,1,29/01/15 11:01,"[""turbo tax""]",223.54.39.179,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0),2.26,0,"Korea, Republic of",Unknown,compatible,29/01/1,11,['turbo tax'],1,0
20,1,29/01/15 11:01,"[""SAS ATT OSA SAT to""]",47.27.248.237,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,United States,Englewood,Windows,29/01/1,11,['SAS ATT OSA SAT to'],1,1
21,0,29/01/15 11:01,"[""Byethost""]",189.205.193.241,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; InfoPath.3),0.17,0,Mexico,Mazatlán,compatible,29/01/1,11,['Byethost'],1,0
22,1,29/01/15 11:01,"[""Faisal""]",90.100.170.77,Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0,0.17,0,France,Unknown,Windows,29/01/1,11,['Faisal'],1,1
23,1,29/01/15 11:01,"[""SAS ATT OSA SAT to""]",47.27.248.237,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,United States,Englewood,Windows,29/01/1,11,['SAS ATT OSA SAT to'],1,1
24,0,29/01/15 11:01,"[""Faisal""]",90.100.170.77,Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0,0.17,0,France,Unknown,Windows,29/01/1,11,['Faisal'],1,1
25,1,29/01/15 11:01,"[""disk""]",9.190.70.251,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3),0.17,0,United States,Unknown,compatible,29/01/1,11,['disk'],1,0
26,0,29/01/15 11:01,"[""Naver.com""]",151.133.48.160,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,0.17,0,United Kingdom,London,Windows,29/01/1,11,['Naver.com'],1,0
27,1,29/01/15 11:01,"[""Tennis Warehouse""]",226.15.83.26,Mozilla/5.0 (Windows NT 6.3; ARM; Trident/7.0; Touch; rv:11.0) like Gecko,0.24,1,Unknown,Unknown,Windows,29/01/1,11,['Tennis Warehouse'],1,0
28,1,29/01/15 11:01,"[""Portal Odebrecht""]",81.200.129.192,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36",0.17,0,Italy,Unknown,Windows,29/01/1,11,['Portal Odebrecht'],1,0
29,1,29/01/15 11:01,"[""the news channel"",""bbc hindi""]",33.88.62.114,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36 OPR/27.0.1689.54 (Edition Campaign 18)",0.17,0,United States,Unknown,Windows,29/01/1,11,"['the news channel', 'bbc hindi']",2,0
30,1,29/01/15 11:01,"[""hawaiian wedding invitations""]",217.126.248.68,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/4.0; InfoPath.2; SV1; .NET CLR 2.0.50727; WOW64),0.18,0,Spain,Albacete,compatible,29/01/1,11,['hawaiian wedding invitations'],1,0
31,1,29/01/15 11:01,"[""satellite maps"",""map google"",""googeo""]",191.85.218.138,Mozilla/5.0 (Windows NT 6.2; rv:35.0) Gecko/20100101 Firefox/35.0,0.17,0,Argentina,Canning,Windows,29/01/1,11,"['satellite maps', 'map google', 'googeo']",3,0
32,1,29/01/15 11:01,"[""deactivate"",""facebook"",""Fac3 Book""]",104.152.31.192,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,Canada,Regina,Windows,29/01/1,11,"['deactivate', 'facebook', 'Fac3 Book']",3,0
33,0,29/01/15 11:01,"[""pediatric job"",""Craigslist ORG"",""online job""]",254.56.252.104,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/6.2.2 Safari/537.85.11",0.22,0,Unknown,Unknown,Macintosh,29/01/1,11,"['pediatric job', 'Craigslist ORG', 'online job']",3,0
34,0,29/01/15 11:01,"[""pediatric job"",""Craigslist ORG"",""classifieds""]",2.225.20.250,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.22,0,Italy,Peschiera,Windows,29/01/1,11,"['pediatric job', 'Craigslist ORG', 'classifieds']",3,0
35,1,29/01/15 11:01,"[""Liputan Kita""]",186.219.235.172,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36",0.17,0,Brazil,Unknown,Windows,29/01/1,11,['Liputan Kita'],1,0
36,0,29/01/15 11:01,"[""Byethost""]",13.54.12.142,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; InfoPath.3; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; Zune 4.7),0.17,0,Australia,Sydney,compatible,29/01/1,11,['Byethost'],1,1
37,1,29/01/15 11:01,"[""youtube"",""youtube org"",""youtuby""]",91.27.70.88,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),0.17,0,Germany,Unknown,compatible,29/01/1,11,"['youtube', 'youtube org', 'youtuby']",3,1
38,0,29/01/15 11:01,"[""ADSL Speeder""]",253.127.238.164,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9) Gecko/2008052906 Firefox/3.0,0.17,0,Unknown,Unknown,Windows,29/01/1,11,['ADSL Speeder'],1,0
39,1,29/01/15 11:01,"[""youtube"",""youtuby"",""Listen on Repeat""]",48.255.22.195,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,United States,Newark,Windows,29/01/1,11,"['youtube', 'youtuby', 'Listen on Repeat']",3,0
40,1,29/01/15 11:02,"[""new homepage"",""google"",""Goo QL""]",189.182.32.83,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Maxthon/4.4.3.4000 Chrome/30.0.1599.101 Safari/537.36",0.17,0,Mexico,Tala,Windows,29/01/1,11,"['new homepage', 'google', 'Goo QL']",3,0
41,1,29/01/15 11:02,"[""Mansoura""]",191.126.52.16,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,Chile,Santiago,Windows,29/01/1,11,['Mansoura'],1,0
42,1,29/01/15 11:02,"[""Gaming Hungama""]",111.205.185.44,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,China,Beijing,Windows,29/01/1,11,['Gaming Hungama'],1,0
43,0,29/01/15 11:02,"[""game spot""]",83.19.224.156,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Chrome/36.0.1985.125 BoBrowser/36.0.1985.136 Safari/537.36",0.17,0,Poland,Kamienica,Windows,29/01/1,11,['game spot'],1,1
44,1,29/01/15 11:02,"[""online education games for kids"",""games for kids"",""free educational online games for kids""]",174.156.59.98,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0),0.26,0,United States,Unknown,compatible,29/01/1,11,"['online education games for kids', 'games for kids', 'free educational online games for kids']",3,0
45,1,29/01/15 11:02,"[""final""]",191.100.162.196,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0,0.17,0,Ecuador,Cuenca,Windows,29/01/1,11,['final'],1,0
46,1,29/01/15 11:02,"[""pediatric job"",""Craigslist ORG"",""classifieds""]",224.222.223.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/7.1.2 Safari/537.85.11",0.22,1,Unknown,Unknown,Macintosh,29/01/1,11,"['pediatric job', 'Craigslist ORG', 'classifieds']",3,0
47,1,29/01/15 11:02,"[""deactivate"",""faceboock"",""Kacebook.com""]",196.149.216.116,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,Egypt,Unknown,Windows,29/01/1,11,"['deactivate', 'faceboock', 'Kacebook.com']",3,0
48,1,29/01/15 11:02,"[""gamail"",""gmail"",""email account""]",177.184.218.112,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36",0.17,0,Brazil,Xaxim,Macintosh,29/01/1,11,"['gamail', 'gmail', 'email account']",3,0
49,0,29/01/15 11:02,"[""deactivate"",""facebook"",""face book""]",76.80.10.171,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,United States,Los Angeles,Windows,29/01/1,11,"['deactivate', 'facebook', 'face book']",3,0
50,0,29/01/15 11:02,"[""google"",""goolg"",""googeo""]",253.191.213.159,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/C4BD6D",0.17,0,Unknown,Unknown,Windows,29/01/1,11,"['google', 'goolg', 'googeo']",3,0
51,1,29/01/15 11:02,"[""890""]",74.85.2.152,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,United States,Concord,Windows,29/01/1,11,['890'],1,0
52,1,29/01/15 11:02,"[""turbo tax""]",1.105.174.20,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,6.46,3,"Korea, Republic of",Unknown,Windows,29/01/1,11,['turbo tax'],1,0
53,1,29/01/15 11:02,"[""pediatric job"",""F Craigslist"",""classified new""]",218.153.23.222,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0,0.22,1,"Korea, Republic of",Seoul,Macintosh,29/01/1,11,"['pediatric job', 'F Craigslist', 'classified new']",3,0
54,1,29/01/15 11:02,"[""lifelock"",""tenant credit score"",""tenant credit report"",""credit report for renter""]",93.87.237.223,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.56,0,Serbia,Subotica,Windows,29/01/1,11,"['lifelock', 'tenant credit score', 'tenant credit report', 'credit report for renter']",4,1
55,1,29/01/15 11:02,"[""Byethost""]",96.155.29.219,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/6.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; HPNTDFJS; InfoPath.2),0.17,0,United States,Unknown,compatible,29/01/1,11,['Byethost'],1,1
56,1,29/01/15 11:02,"[""youtuberepeat""]",4.205.152.189,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,United States,Unknown,Windows,29/01/1,11,['youtuberepeat'],1,0
57,1,29/01/15 11:02,"[""new homepage"",""the news channel"",""international news""]",199.45.160.78,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36",0.17,0,United States,Boulder,Windows,29/01/1,11,"['new homepage', 'the news channel', 'international news']",3,1
58,1,29/01/15 11:02,"[""free hulu plus trial"",""hulu plus"",""hulu watch tv""]",78.250.142.77,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.35,0,France,Paris,Windows,29/01/1,11,"['free hulu plus trial', 'hulu plus', 'hulu watch tv']",3,0
59,1,29/01/15 11:02,"[""Player 4k""]",81.187.213.164,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,United Kingdom,Mayfair,Windows,29/01/1,11,['Player 4k'],1,1
60,1,29/01/15 11:02,"[""Player 4k""]",81.187.213.164,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,United Kingdom,Mayfair,Windows,29/01/1,11,['Player 4k'],1,1
61,1,29/01/15 11:02,"[""free hulu plus trial"",""hulu plus"",""hulu watch tv""]",2.201.20.79,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.35,0,Germany,Weinheim,Windows,29/01/1,11,"['free hulu plus trial', 'hulu plus', 'hulu watch tv']",3,0
62,0,29/01/15 11:02,"[""youtube"",""youtube org"",""youtuby""]",91.27.70.88,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),0.17,0,Germany,Unknown,compatible,29/01/1,11,"['youtube', 'youtube org', 'youtuby']",3,1
63,1,29/01/15 11:02,"[""Naver.com""]",211.230.151.41,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),0.17,0,"Korea, Republic of",Seoul,compatible,29/01/1,11,['Naver.com'],1,0
64,1,29/01/15 11:02,"[""new homepage"",""goolg"",""k google""]",94.255.113.69,Mozilla/5.0 (Windows NT 5.1; rv:35.0) Gecko/20100101 Firefox/35.0,0.17,0,Russian Federation,Vinsady,Windows,29/01/1,11,"['new homepage', 'goolg', 'k google']",3,0
65,1,29/01/15 11:02,"[""turbo tax"",""turbotax"",""myturbotax""]",174.156.68.119,Mozilla/5.0 (Android; Tablet; rv:35.0) Gecko/35.0 Firefox/35.0,1.19,0,United States,Unknown,Android,29/01/1,11,"['turbo tax', 'turbotax', 'myturbotax']",3,0
66,1,29/01/15 11:02,"[""lifelock"",""tenant credit score"",""tenant credit report"",""credit report for renter""]",93.87.237.223,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.56,0,Serbia,Subotica,Windows,29/01/1,11,"['lifelock', 'tenant credit score', 'tenant credit report', 'credit report for renter']",4,1
67,1,29/01/15 11:02,"[""icloud iphone""]",177.151.240.227,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; SMJB; rv:11.0) like Gecko,0.17,0,Brazil,Sao Bernardo Do Campo,Windows,29/01/1,11,['icloud iphone'],1,0
68,1,29/01/15 11:02,"[""pediatric job"",""F Craigslist"",""classified new""]",25.106.117.128,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",0.22,1,United Kingdom,Unknown,Windows,29/01/1,11,"['pediatric job', 'F Craigslist', 'classified new']",3,0
69,1,29/01/15 11:03,"[""search"",""goolg"",""google""]",91.120.127.42,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,0.17,0,Hungary,Budapest,Windows,29/01/1,11,"['search', 'goolg', 'google']",3,0
70,1,29/01/15 11:03,"[""Model Education""]",191.193.109.173,Mozilla/5.0 (Windows NT 5.1; rv:35.0) Gecko/20100101 Firefox/35.0,0.17,0,Brazil,Sao Jose Dos Campos,Windows,29/01/1,11,['Model Education'],1,0
71,1,29/01/15 11:03,"[""youtube brasil"",""youtube filme"",""youtube news"",""youtube to mp3"",""youtube world news""]",13.244.169.14,Mozilla/5.0 (Windows NT 5.1; rv:17.0) Gecko/20100101 Firefox/17.0,0.17,0,United States,Norwalk,Windows,29/01/1,11,"['youtube brasil', 'youtube filme', 'youtube news', 'youtube to mp3', 'youtube world news']",5,0
72,1,29/01/15 11:03,"[""twitter"",""unfollowed me""]",96.76.209.135,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,0.17,0,United States,Unknown,Windows,29/01/1,11,"['twitter', 'unfollowed me']",2,0
73,1,29/01/15 11:03,"[""pediatric job"",""F Craigslist"",""online job""]",218.121.13.194,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5",0.22,0,Japan,Unknown,Macintosh,29/01/1,11,"['pediatric job', 'F Craigslist', 'online job']",3,0
74,1,29/01/15 11:03,"[""pediatric job"",""F Craigslist"",""Freshers Jobs""]",2.197.32.248,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.22,0,Italy,Unknown,Macintosh,29/01/1,11,"['pediatric job', 'F Craigslist', 'Freshers Jobs']",3,0
75,1,29/01/15 11:03,"[""Immobili""]",9.142.5.71,Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0,0.17,0,United States,Unknown,Windows,29/01/1,11,['Immobili'],1,0
76,1,29/01/15 11:03,"[""Greek Heavens""]",74.85.2.156,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),0.17,0,United States,Concord,compatible,29/01/1,11,['Greek Heavens'],1,1
77,1,29/01/15 11:03,"[""singapore airline"",""airline""]",74.223.170.73,Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0,0.17,0,United States,Olathe,Windows,29/01/1,11,"['singapore airline', 'airline']",2,0
78,0,29/01/15 11:03,"[""droid x2"",""htc droid""]",80.138.100.149,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),0.17,0,Germany,Bad Münstereifel,compatible,29/01/1,11,"['droid x2', 'htc droid']",2,0
79,1,29/01/15 11:03,"[""youtube brasil"",""youtube filme"",""youtube news"",""youtube to mp3"",""youtube world news""]",13.168.47.212,Mozilla/5.0 (Windows NT 5.1; rv:34.0) Gecko/20100101 Firefox/34.0,0.17,0,United States,Unknown,Windows,29/01/1,11,"['youtube brasil', 'youtube filme', 'youtube news', 'youtube to mp3', 'youtube world news']",5,0
80,1,29/01/15 11:03,"[""sprint wireless"",""sprint mobile"",""sprint"",""sprint wireless phones"",""cell phone"",""smartphone""]",225.66.7.58,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,2.26,0,Unknown,Unknown,Windows,29/01/1,11,"['sprint wireless', 'sprint mobile', 'sprint', 'sprint wireless phones', 'cell phone', 'smartphone']",6,0
81,1,29/01/15 11:03,"[""Mega File""]",164.195.136.98,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,0.17,0,United States,Albany,Windows,29/01/1,11,['Mega File'],1,0
82,1,29/01/15 11:03,"[""totaljerface""]",39.149.70.9,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,China,Unknown,Windows,29/01/1,11,['totaljerface'],1,1
83,0,29/01/15 11:03,"[""20""]",75.68.218.238,Mozilla/5.0 (Windows NT 6.1; rv:19.0) Gecko/20100101 Firefox/19.0,0.17,0,United States,Saint Albans,Windows,29/01/1,11,['20'],1,0
84,1,29/01/15 11:03,"[""Charlotte""]",80.172.37.35,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,Portugal,Unknown,Windows,29/01/1,11,['Charlotte'],1,0
85,1,29/01/15 11:03,"[""whatsapp"",""whatsapp download""]",74.136.85.18,Mozilla/5.0 (Windows NT 6.1; rv:15.0) Gecko/20100101 Firefox/15.0.1,0.17,0,United States,Lexington,Windows,29/01/1,11,"['whatsapp', 'whatsapp download']",2,0
86,1,29/01/15 11:03,"[""totaljerface""]",39.149.70.9,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",0.17,0,China,Unknown,Windows,29/01/1,11,['totaljerface'],1,1
