click_status,AMP_timestamp,Query Term ,IP Address,User Agent,Cost Per Click ,Conversions,country,city
1,29/01/15 11:01,"[""Faisal""]",90.100.170.77,Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0,$ .17,0,France,Unknown
1,29/01/15 11:01,"[""SAS ATT OSA SAT to""]",47.27.248.237,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,United States,Englewood
40,29/01/15 11:01,"[""Faisal""]",90.100.170.77,Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0,$ .17,0,France,Unknown
1,29/01/15 11:01,"[""disk""]",9.190.70.251,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3),$ .17,0,United States,Unknown
18,29/01/15 11:01,"[""Naver.com""]",151.133.48.160,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,$ .17,0,United Kingdom,London
1,29/01/15 11:01,"[""Tennis Warehouse""]",226.15.83.26,Mozilla/5.0 (Windows NT 6.3; ARM; Trident/7.0; Touch; rv:11.0) like Gecko,$ .24,1,Unknown,Unknown
1,29/01/15 11:01,"[""Portal Odebrecht""]",81.200.129.192,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36",$ .17,0,Italy,Unknown
1,29/01/15 11:01,"[""the news channel"",""bbc hindi""]",33.88.62.114,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36 OPR/27.0.1689.54 (Edition Campaign 18)",$ .17,0,United States,Unknown
1,29/01/15 11:01,"[""hawaiian wedding invitations""]",217.126.248.68,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; Trident/4.0; InfoPath.2; SV1; .NET CLR 2.0.50727; WOW64),$ .18,0,Spain,Albacete
1,29/01/15 11:01,"[""satellite maps"",""map google"",""googeo""]",191.85.218.138,Mozilla/5.0 (Windows NT 6.2; rv:35.0) Gecko/20100101 Firefox/35.0,$ .17,0,Argentina,Canning
1,29/01/15 11:01,"[""deactivate"",""facebook"",""Fac3 Book""]",104.152.31.192,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,Canada,Regina
29,29/01/15 11:01,"[""pediatric job"",""Craigslist ORG"",""online job""]",254.56.252.104,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/6.2.2 Safari/537.85.11",$ .22,0,Unknown,Unknown
18,29/01/15 11:01,"[""pediatric job"",""Craigslist ORG"",""classifieds""]",2.225.20.250,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .22,0,Italy,Peschiera
1,29/01/15 11:01,"[""Liputan Kita""]",186.219.235.172,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36",$ .17,0,Brazil,Unknown
29,29/01/15 11:01,"[""Byethost""]",13.54.12.142,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; InfoPath.3; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; Zune 4.7),$ .17,0,Australia,Sydney
1,29/01/15 11:01,"[""youtube"",""youtube org"",""youtuby""]",91.27.70.88,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),$ .17,0,Germany,Unknown
32,29/01/15 11:01,"[""ADSL Speeder""]",253.127.238.164,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9) Gecko/2008052906 Firefox/3.0,$ .17,0,Unknown,Unknown
1,29/01/15 11:01,"[""youtube"",""youtuby"",""Listen on Repeat""]",48.255.22.195,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,United States,Newark
1,29/01/15 11:02,"[""new homepage"",""google"",""Goo QL""]",189.182.32.83,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Maxthon/4.4.3.4000 Chrome/30.0.1599.101 Safari/537.36",$ .17,0,Mexico,Tala
1,29/01/15 11:02,"[""Mansoura""]",191.126.52.16,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,Chile,Santiago
1,29/01/15 11:02,"[""Gaming Hungama""]",111.205.185.44,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,China,Beijing
27,29/01/15 11:02,"[""game spot""]",83.19.224.156,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Chrome/36.0.1985.125 BoBrowser/36.0.1985.136 Safari/537.36",$ .17,0,Poland,Kamienica
1,29/01/15 11:02,"[""online education games for kids"",""games for kids"",""free educational online games for kids""]",174.156.59.98,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0),$ .26,0,United States,Unknown
1,29/01/15 11:02,"[""final""]",191.100.162.196,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:30.0) Gecko/20100101 Firefox/30.0,$ .17,0,Ecuador,Cuenca
1,29/01/15 11:02,"[""pediatric job"",""Craigslist ORG"",""classifieds""]",224.222.223.21,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/7.1.2 Safari/537.85.11",$ .22,1,Unknown,Unknown
1,29/01/15 11:02,"[""deactivate"",""faceboock"",""Kacebook.com""]",196.149.216.116,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,Egypt,Unknown
1,29/01/15 11:02,"[""gamail"",""gmail"",""email account""]",177.184.218.112,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36",$ .17,0,Brazil,Xaxim
29,29/01/15 11:02,"[""deactivate"",""facebook"",""face book""]",76.80.10.171,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,United States,Los Angeles
18,29/01/15 11:02,"[""google"",""goolg"",""googeo""]",253.191.213.159,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/31.0.1650.63 Safari/C4BD6D",$ .17,0,Unknown,Unknown
1,29/01/15 11:02,"[""890""]",74.85.2.152,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,United States,Concord
1,29/01/15 11:02,"[""turbo tax""]",1.105.174.20,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,$ 6.46,3,"Korea, Republic of",Unknown
1,29/01/15 11:02,"[""pediatric job"",""F Craigslist"",""classified new""]",218.153.23.222,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0,$ .22,1,"Korea, Republic of",Seoul
1,29/01/15 11:02,"[""lifelock"",""tenant credit score"",""tenant credit report"",""credit report for renter""]",93.87.237.223,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .56,0,Serbia,Subotica
1,29/01/15 11:02,"[""Byethost""]",96.155.29.219,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/6.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; HPNTDFJS; InfoPath.2),$ .17,0,United States,Unknown
1,29/01/15 11:02,"[""youtuberepeat""]",4.205.152.189,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,United States,Unknown
1,29/01/15 11:02,"[""new homepage"",""the news channel"",""international news""]",199.45.160.78,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36",$ .17,0,United States,Boulder
1,29/01/15 11:02,"[""free hulu plus trial"",""hulu plus"",""hulu watch tv""]",78.250.142.77,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .35,0,France,Paris
1,29/01/15 11:02,"[""Player 4k""]",81.187.213.164,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,United Kingdom,Mayfair
1,29/01/15 11:02,"[""Player 4k""]",81.187.213.164,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,United Kingdom,Mayfair
1,29/01/15 11:02,"[""free hulu plus trial"",""hulu plus"",""hulu watch tv""]",2.201.20.79,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .35,0,Germany,Weinheim
18,29/01/15 11:02,"[""youtube"",""youtube org"",""youtuby""]",91.27.70.88,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),$ .17,0,Germany,Unknown
1,29/01/15 11:02,"[""Naver.com""]",211.230.151.41,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.2),$ .17,0,"Korea, Republic of",Seoul
1,29/01/15 11:02,"[""new homepage"",""goolg"",""k google""]",94.255.113.69,Mozilla/5.0 (Windows NT 5.1; rv:35.0) Gecko/20100101 Firefox/35.0,$ .17,0,Russian Federation,Vinsady
1,29/01/15 11:02,"[""turbo tax"",""turbotax"",""myturbotax""]",174.156.68.119,Mozilla/5.0 (Android; Tablet; rv:35.0) Gecko/35.0 Firefox/35.0,$ 1.19,0,United States,Unknown
1,29/01/15 11:02,"[""lifelock"",""tenant credit score"",""tenant credit report"",""credit report for renter""]",93.87.237.223,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .56,0,Serbia,Subotica
1,29/01/15 11:02,"[""icloud iphone""]",177.151.240.227,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; SMJB; rv:11.0) like Gecko,$ .17,0,Brazil,Sao Bernardo Do Campo
1,29/01/15 11:02,"[""pediatric job"",""F Craigslist"",""classified new""]",25.106.117.128,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",$ .22,1,United Kingdom,Unknown
1,29/01/15 11:03,"[""search"",""goolg"",""google""]",91.120.127.42,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,$ .17,0,Hungary,Budapest
1,29/01/15 11:03,"[""Model Education""]",191.193.109.173,Mozilla/5.0 (Windows NT 5.1; rv:35.0) Gecko/20100101 Firefox/35.0,$ .17,0,Brazil,Sao Jose Dos Campos
1,29/01/15 11:03,"[""youtube brasil"",""youtube filme"",""youtube news"",""youtube to mp3"",""youtube world news""]",13.244.169.14,Mozilla/5.0 (Windows NT 5.1; rv:17.0) Gecko/20100101 Firefox/17.0,$ .17,0,United States,Norwalk
1,29/01/15 11:03,"[""twitter"",""unfollowed me""]",96.76.209.135,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,$ .17,0,United States,Unknown
1,29/01/15 11:03,"[""pediatric job"",""F Craigslist"",""online job""]",218.121.13.194,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5",$ .22,0,Japan,Unknown
1,29/01/15 11:03,"[""pediatric job"",""F Craigslist"",""Freshers Jobs""]",2.197.32.248,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .22,0,Italy,Unknown
1,29/01/15 11:03,"[""Immobili""]",9.142.5.71,Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0,$ .17,0,United States,Unknown
1,29/01/15 11:03,"[""Greek Heavens""]",74.85.2.156,Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727; .NET CLR 1.1.4322; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729),$ .17,0,United States,Concord
1,29/01/15 11:03,"[""singapore airline"",""airline""]",74.223.170.73,Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0,$ .17,0,United States,Olathe
18,29/01/15 11:03,"[""droid x2"",""htc droid""]",80.138.100.149,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),$ .17,0,Germany,Bad Münstereifel
1,29/01/15 11:03,"[""youtube brasil"",""youtube filme"",""youtube news"",""youtube to mp3"",""youtube world news""]",13.168.47.212,Mozilla/5.0 (Windows NT 5.1; rv:34.0) Gecko/20100101 Firefox/34.0,$ .17,0,United States,Unknown
1,29/01/15 11:03,"[""sprint wireless"",""sprint mobile"",""sprint"",""sprint wireless phones"",""cell phone"",""smartphone""]",225.66.7.58,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:35.0) Gecko/20100101 Firefox/35.0,$ 2.26,0,Unknown,Unknown
1,29/01/15 11:03,"[""Mega File""]",164.195.136.98,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,$ .17,0,United States,Albany
1,29/01/15 11:03,"[""totaljerface""]",39.149.70.9,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,China,Unknown
27,29/01/15 11:03,"[""20""]",75.68.218.238,Mozilla/5.0 (Windows NT 6.1; rv:19.0) Gecko/20100101 Firefox/19.0,$ .17,0,United States,Saint Albans
1,29/01/15 11:03,"[""Charlotte""]",80.172.37.35,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,Portugal,Unknown
1,29/01/15 11:03,"[""whatsapp"",""whatsapp download""]",74.136.85.18,Mozilla/5.0 (Windows NT 6.1; rv:15.0) Gecko/20100101 Firefox/15.0.1,$ .17,0,United States,Lexington
1,29/01/15 11:03,"[""totaljerface""]",39.149.70.9,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,China,Unknown
1,29/01/15 11:03,"[""totaljerface""]",39.149.70.9,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,China,Unknown
18,29/01/15 11:03,"[""Player 4k""]",81.187.213.164,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .17,0,United Kingdom,Mayfair
1,29/01/15 11:03,"[""search"",""goolg"",""Goo QL""]",96.233.168.31,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:10.0.1) Gecko/20100101 Firefox/10.0.1,$ .17,0,United States,Ashfield
27,29/01/15 11:04,"[""Hotel BOL are Bali""]",0.218.209.241,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/600.2.5 (KHTML, like Gecko) Version/8.0.2 Safari/600.2.5",$ .25,0,Unknown,Unknown
1,29/01/15 11:04,"[""battle""]",39.149.62.154,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1709.117 Amigo/32.0.1709.117 MRCHROME SOC Safari/537.36",$ .17,0,China,Unknown
18,29/01/15 11:04,"[""Nyanko Seek""]",8.67.18.220,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,$ .17,0,United States,Unknown
1,29/01/15 11:04,"[""youtube brasil"",""youtube filme"",""youtube news"",""youtube to mp3"",""youtube world news""]",6.102.197.206,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36",$ .17,0,United States,Fort Huachuca
1,29/01/15 11:04,"[""free music"",""grooveshark"",""listen music online""]",84.14.6.6,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/30.0.1599.69 Safari/537.36",$ .17,0,France,Paris
1,29/01/15 11:04,"[""youtube"",""youtuby"",""Listen on Repeat""]",6.92.240.23,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.5 Safari/537.36",$ .17,0,United States,Fort Huachuca
1,29/01/15 11:04,"[""t mobile com"",""t mobile cell phone family plans"",""t mobile cell phone plans""]",217.80.0.149,"Mozilla/5.0 (Linux; U; Android 4.0.3; en-us; KFTT Build/IML74K) AppleWebKit/537.36 (KHTML, like Gecko) Silk/3.44 like Chrome/37.0.2026.117 Safari/537.36",$ .44,0,Germany,Unknown
1,29/01/15 11:04,"[""blog"",""goolg"",""k google""]",105.103.44.136,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,$ .17,0,Algeria,Ain Defla
1,29/01/15 11:04,"[""eyeglasses paypal"",""money send"",""paypal store"",""send money"",""send money online""]",189.7.114.246,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; Touch; MASMJS; rv:11.0) like Gecko,$ .17,0,Brazil,Novo Hamburgo
32,29/01/15 11:04,"[""blog"",""google"",""googeo""]",80.107.162.23,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,$ .17,0,Greece,Athens
1,29/01/15 11:04,"[""To 3GP"",""Online Video Converter"",""video production""]",199.43.238.251,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),$ .17,0,United States,New York
1,29/01/15 11:04,"[""pediatric job"",""F Craigslist"",""classified new""]",218.91.146.193,Mozilla/5.0 (Windows NT 5.1; rv:35.0) Gecko/20100101 Firefox/35.0,$ .22,1,China,Nanjing
1,29/01/15 11:04,"[""To 3GP"",""Online Video Converter"",""video production""]",199.43.238.251,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),$ .17,0,United States,New York
1,29/01/15 11:04,"[""google"",""goolg"",""m google""]",253.123.14.130,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,$ .17,0,Unknown,Unknown
1,29/01/15 11:04,"[""youtube"",""youtuby"",""r youtube""]",13.244.128.128,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.5 Safari/537.36",$ .17,0,United States,Norwalk
18,29/01/15 11:04,"[""Addons Chrome""]",95.85.8.58,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36",$ .17,0,Netherlands,Amsterdam
1,29/01/15 11:05,"[""twitter"",""just do follow""]",253.159.20.28,Mozilla/5.0 (Windows NT 6.1; rv:35.0) Gecko/20100101 Firefox/35.0,$ .17,0,Unknown,Unknown
1,29/01/15 11:05,"[""youtube"",""youtuby"",""youtube org""]",115.59.126.219,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.94 Safari/537.36",$ .17,0,China,Zhengzhou
1,29/01/15 11:05,"[""booking"",""booking.c"",""booking com hotel""]",248.132.118.165,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36",$ .25,0,Unknown,Unknown
1,29/01/15 11:05,"[""youtube brasil"",""youtube filme"",""youtube news"",""youtube to mp3"",""youtube world news""]",6.92.229.18,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36",$ .17,0,United States,Fort Huachuca
1,29/01/15 11:05,"[""pediatric job"",""Craigslist ORG"",""online job""]",217.160.100.119,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.91 Safari/537.36",$ .22,1,Germany,Karlsruhe
